level_0,id_paax,actor_type,sub_type,cs_type,international,regional,domestic,un_type,iso3c,country_name,actor_id,actor_name,abbreviation,alt_names
old,IGO_639,Intergovernmental Organization,,,,1,,,,,639,Council of Europe,COE,Council Of Europe | Council of Europe | Council of Europe
old,IGO_640,Intergovernmental Organization,,,1,,,United Nations,,,640,Office of the United Nations High Commissioner for Human Rights,UNHCHR,Office Of The United Nations High Commissioner For Human Rights || OHCHR || High Commissioner For Human Rights | Office of the United Nations High Commissioner for Human Rights | UNHCHR | Office Of The United Nations High Commissioner For Human Rights  |  OHCHR  |  High Commissioner For Human Rights
old,CON_641,Country/State,,,,,,,SYC,Seychelles,641,Seychelles,,Seychelles | SEYCHELLES
old,OTH_642,Other,,,,,1,,LSO,Lesotho,642,Interim Political Authority,,
old,POL_643,Political Party,,,,,,,DZA,Algeria,643,National Liberation Front,FLN,
old,POL_644,Political Party,,,,,,,DZA,Algeria,644,Socialist Forces Front,FFS,
old,POL_645,Political Party,,,,,,,DZA,Algeria,645,Movement for Democracy in Algeria,MDA,
old,POL_646,Political Party,,,,,,,DZA,Algeria,646,Workers Party,PT,
old,POL_647,Political Party,,,,,,,BDI,Burundi,647,Political Parties,,
old,ARM_648,Armed Organization,,,,,,,COG,"Congo, Republic of the",648,National Council of Resistance,CNR,
old,ARM_649,Armed Organization,,,,,,,IND,India,649,Bodo Liberation Tigers,BLT,Bodo Liberation Tiger Force | BLTF
old,ARM_650,Armed Organization,,,,,,,IND,India,650,National Socialist Council of Nagaland,NSCN,
old,ARM_651,Armed Organization,,,,,,,SLE,Sierra Leone,651,Civil Defence Forces,CDF,
old,IGO_652,Intergovernmental Organization,,,1,,,UN Mission,,,652,UNAMSIL,UNAMSIL,United Nations Mission in Sierra Leone
old,ARM_653,Armed Organization,,,,,,,PHL,Philippines,653,Revolutionary Proletarian Army-Alex Boncayao Brigade,RPA-ABB,
old,OTH_654,Government/state,,,,,1,,PHL,Philippines,654,GRP Peace Panel,,
old,POL_655,Political Party,,,,,,,SDN,Sudan,655,National Democratic Alliance,,
old,ARM_656,Armed Organization,,,,,,,SSD,South Sudan,656,South Sudan Defence Forces,SSDF, South Sudan Defence Forces
